"RA"	"RT."	"TREE_CODE"	"INV"	"CREW"	"DATE"	"DBH"	"HT"	"LLC"	"COND"	"ST"	"LI"	"CC"	"CAV"	"NOTES"
9.00	48.00	"TSCA"	4.00	"DH; KS"	7/20/2011 0:00:00	57.80	26.50	8.30	0.00	"B"	3		"N"	
9.00	49.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	46.20	20.01	8.02				"D"	"0"	
9.00	49.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	50.00	25.00	11.70	0.00			"C"	"0"	
9.00	49.00	"PIST"	3.00		8/1/2007 0:00:00	53.10	27.10	12.80	0.00	"A"	5		"N"	
9.00	49.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	57.50	28.50	13.80	0.00	"B"	5		"N"	
9.00	50.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	71.90	29.17	16.27				"D"	"0"	
9.00	50.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	73.20	30.50	15.50	0.00			"D"	"0"	
9.00	50.00	"PIST"	3.00		8/1/2007 0:00:00	75.20	32.10	15.00	0.00	"A"	4		"N"	
9.00	50.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	78.60	34.60	15.40	0.00	"A"	5		"N"	
9.00	51.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	47.50	26.70	13.35				"D"	"0"	
9.00	51.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	47.60	26.50	16.00	0.00			"D"	"0"	
9.00	51.00	"PIRU"	3.00		8/1/2007 0:00:00	48.70	26.30	15.20	0.00	"A"	4		"N"	
9.00	51.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00				9.00					
9.00	52.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	66.00	30.70	18.42				"D"	"0"	
9.00	52.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	67.90	31.50	18.30	0.00			"D"	"0"	
9.00	52.00	"PIST"	3.00		8/1/2007 0:00:00	70.00	31.80	18.60	0.00	"A"	4		"N"	
9.00	52.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	71.70	33.50	20.30	0.00	"A"	5		"N"	
9.00	53.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	39.60	26.03	11.71				"C"	"0"	
9.00	53.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	41.40	26.90	14.10	0.00			"O"	"0"	
9.00	53.00	"PIRU"	3.00		8/1/2007 0:00:00	41.30	26.70	16.50	0.00	"A"	1		"N"	
9.00	53.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00				9.00					
9.00	54.00	"PIGL"	3.00		8/1/2007 0:00:00	45.00	28.80	16.80	0.00	"A"	2		"N"	
9.00	54.00	"PIGL"	4.00	"DH; KS"	7/20/2011 0:00:00				9.00					
9.00	54.00	"PIRU"	1.00	"TS, SG"	4/30/1998 0:00:00	44.70	28.38	14.33				"C"	"0"	
9.00	54.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	45.50	27.60	17.50	0.00			"D"	"0"	
9.00	54.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00				9.00					
9.00	55.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	66.50	27.63	15.36				"D"	"0"	
9.00	55.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	71.30	29.60	16.50	0.00			"D"	"0"	
9.00	55.00	"PIST"	3.00		8/1/2007 0:00:00	73.00	29.50	15.70	0.00	"A"	5		"N"	
9.00	55.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	75.60	30.50	16.00	0.00	"B"	5		"N"	
9.00	56.00	"PIRE"	1.00	"TS, SG"	4/30/1998 0:00:00	55.10	26.71	13.80				"D"	"0"	
9.00	56.00	"PIRE"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	57.40	26.80	17.50	0.00			"C"	"0"	
9.00	56.00	"PIRE"	3.00		8/1/2007 0:00:00	58.40	25.70	16.50	0.00	"A"	4		"N"	
9.00	56.00	"PIRE"	4.00	"DH; KS"	7/20/2011 0:00:00	59.70	27.20	16.20	0.00	"B"	5		"N"	
9.00	57.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	76.20	27.32	13.19				"D"	"0"	
9.00	57.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	75.90	27.60	14.60	0.00			"D"	"0"	
9.00	57.00	"PIST"	3.00		8/1/2007 0:00:00	78.00	31.60	16.20	0.00	"A"	5		"N"	
9.00	57.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	79.80	33.10	15.50	0.00	"A"	5		"N"	
9.00	58.00	"BEPA"	1.00	"TS, SG"	4/30/1998 0:00:00	34.80	18.63	6.48				"C"	"0"	
9.00	58.00	"BEPA"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	37.80	22.70	12.00	0.00			"I"	"0"	
9.00	58.00	"BEPA"	3.00		8/1/2007 0:00:00	36.20	20.90	9.80	0.00	"B"	3		"N"	
9.00	58.00	"BEPA"	4.00	"DH; KS"	7/20/2011 0:00:00	38.40	20.30	10.20	0.00	"C"	5		"N"	"HT Correct"
9.00	59.00	"PIST"	1.00	"TS, SG"	4/30/1998 0:00:00	59.20	27.02	16.26				"D"	"0"	
9.00	59.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	61.80	27.40	14.00	0.00			"D"	"0"	
9.00	59.00	"PIST"	3.00		8/1/2007 0:00:00	64.50	29.10	15.40	0.00	"A"	5		"N"	
9.00	59.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	66.10	28.50	14.70	0.00	"B"	4		"N"	"HT Correct"
9.00	60.00	"PIST"	1.00	"TS"	5/18/1998 0:00:00	46.50	26.40	11.06				"D"	"0"	
9.00	60.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	47.20	27.00	14.10	0.00			"C"	"0"	
9.00	60.00	"PIST"	3.00		8/1/2007 0:00:00	47.60	21.30	14.20	3.00	"B"	3		"N"	
9.00	60.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	48.50	23.60	16.60	3.00	"B"	3		"N"	
9.00	61.00	"PIGL"	3.00		8/1/2007 0:00:00	31.90	22.90	14.50	0.00	"B"	4		"N"	
9.00	61.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	29.70	23.84	8.22				"D"	"0"	
9.00	61.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	31.60	22.80	14.50	3.00			"D"	"0"	
9.00	61.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00	32.50	23.20	12.00	0.00	"B"	5		"N"	
9.00	62.00	"PIST"	1.00	"TS"	5/18/1998 0:00:00	45.70	25.79	14.85				"D"	"0"	
9.00	62.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	49.30	28.10	15.40	0.00			"D"	"0"	
9.00	62.00	"PIST"	3.00		8/1/2007 0:00:00	53.30	28.60	16.00	0.00	"A"	4		"N"	
9.00	62.00	"PIST"	4.00	"DH; KS"	7/20/2011 0:00:00	57.00	28.20	16.40	0.00	"B"	4		"N"	
9.00	63.00	"ACRU"	1.00	"TS"	5/18/1998 0:00:00	39.90	18.85	9.67				"C"	"0"	
9.00	63.00	"ACRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	45.50	22.30	10.20	0.00			"D"	"0"	
9.00	63.00	"ACRU"	3.00		8/1/2007 0:00:00	46.80	23.20	10.70	0.00	"B"	2		"N"	
9.00	63.00	"ACRU"	4.00	"DH; KS"	7/20/2011 0:00:00	48.80	23.40	8.40	0.00	"B"	3		"N"	
9.00	64.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	43.90	28.60	18.59				"C"	"0"	
9.00	64.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	46.50	25.40	15.30	0.00			"C"	"0"	
9.00	64.00	"PIRU"	3.00		8/1/2007 0:00:00	47.30	27.60	16.80	0.00	"B"	2		"N"	
9.00	64.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00	47.80	24.60	15.50	0.00	"B"	4		"N"	
9.00	65.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	39.90	22.79	12.19				"D"	"0"	
9.00	65.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	40.20	22.30	13.30	0.00			"D"	"0"	
9.00	65.00	"PIRU"	3.00		8/1/2007 0:00:00	40.50	23.40	15.00	0.00	"B"	2		"N"	
9.00	65.00	"PIRU"	4.00	"DH; KS"	7/20/2011 0:00:00	42.00	24.00	14.70	0.00	"B"	5		"N"	
9.00	66.00	"POTR"	1.00	"TS"	5/18/1998 0:00:00	41.70	23.18	10.59				"C"	"0"	
9.00	66.00	"POTR"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	42.60	23.20	16.50	0.00			"D"	"0"	
9.00	66.00	"POTR"	3.00		8/1/2007 0:00:00	43.20	24.70	17.00	0.00	"A"	4		"N"	
9.00	66.00	"POTR"	4.00	"DH; KS"	7/21/2011 0:00:00	44.20	25.20	16.40	0.00	"B"	4		"N"	
9.00	67.00	"ACRU"	1.00	"TS"	5/18/1998 0:00:00	47.20	23.56	9.42				"D"	"0"	
9.00	67.00	"ACRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	46.90	25.90	11.00	0.00			"D"	"0"	
9.00	67.00	"ACRU"	3.00		8/1/2007 0:00:00	48.40	26.00	12.40	0.00	"B"	4		"N"	
9.00	67.00	"ACRU"	4.00	"DH; KS"	7/21/2011 0:00:00	50.60	23.70	14.00	0.00	"B"	5		"N"	
9.00	68.00	"PIST"	1.00	"TS"	5/18/1998 0:00:00	69.90	27.10	15.44				"D"	"0"	
9.00	68.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	69.90	33.30	16.40	0.00			"D"	"0"	
9.00	68.00	"PIST"	3.00		8/1/2007 0:00:00	71.70	33.90	12.90	0.00	"A"	5		"N"	
9.00	68.00	"PIST"	4.00	"DH; KS"	7/21/2011 0:00:00	74.00	35.00	12.00	0.00	"A"	5		"N"	
9.00	69.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	47.00	23.75	12.49				"D"	"0"	
9.00	69.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	47.50	24.10	13.30	0.00			"D"	"0"	
9.00	69.00	"PIRU"	3.00		8/1/2007 0:00:00	48.60	25.00	13.00	0.00	"B"	2		"N"	
9.00	69.00	"PIRU"	4.00	"DH; KS"	7/21/2011 0:00:00	48.70	25.50	15.80	0.00	"B"	4		"N"	
9.00	70.00	"ACRU"	1.00	"TS"	5/18/1998 0:00:00	55.90	20.80	8.59				"C"	"1"	
9.00	70.00	"ACRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	56.90	21.50	13.10	0.00			"C"	"0"	
9.00	70.00	"ACRU"	3.00		8/1/2007 0:00:00	58.00	24.20	12.90	2.00	"B"	2		"N"	
9.00	70.00	"ACRU"	4.00	"DH; KS"	7/21/2011 0:00:00	61.00	25.20	14.70	0.00	"B"	3		"N"	
9.00	71.00	"POTR"	1.00	"TS"	5/18/1998 0:00:00	40.40	25.48	12.48				"C"	"0"	
9.00	71.00	"POTR"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00				9.00					
9.00	72.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	46.90	23.64	15.36				"D"	"0"	
9.00	72.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	47.00	22.30	13.50	0.00			"D"	"0"	
9.00	72.00	"PIRU"	3.00		8/1/2007 0:00:00	47.90	24.00	12.70	0.00	"B"	2		"N"	
9.00	72.00	"PIRU"	4.00	"DH; KS"	7/21/2011 0:00:00	48.70	23.70	10.00	0.00	"B"	3		"N"	"HT Correct"
9.00	73.00	"THOC"	1.00	"TS"	5/18/1998 0:00:00	29.00	14.45	6.80				"I"	"1"	
9.00	73.00	"THOC"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	30.40	10.40	7.00	23.00			"O"	"1"	
9.00	73.00	"THOC"	3.00		8/1/2007 0:00:00	30.50	9.80	8.50	23.00	"C"	0		"Y"	
9.00	73.00	"THOC"	4.00	"DH; KS"	7/21/2011 0:00:00	30.60	10.70	6.50	234.00	"C"	0		"Y"	
9.00	74.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	54.90	27.94	12.60				"D"	"0"	
9.00	74.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	56.10	25.70	13.00	0.00			"D"	"0"	
9.00	74.00	"PIRU"	3.00		8/1/2007 0:00:00	57.20	27.00	14.00	0.00	"B"	3		"N"	
9.00	74.00	"PIRU"	4.00	"DH; KS"	7/21/2011 0:00:00	58.50	27.50	15.50	0.00	"B"	5		"N"	
9.00	75.00	"PIRU"	1.00	"TS"	5/18/1998 0:00:00	37.30	20.12	8.99				"C"	"0"	
9.00	75.00	"PIRU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	38.30	19.20	10.80	0.00			"C"	"0"	
9.00	75.00	"PIRU"	3.00		8/1/2007 0:00:00	38.60	21.40	12.30	0.00	"B"	2		"N"	
9.00	75.00	"PIRU"	4.00	"DH; KS"	7/21/2011 0:00:00	39.00	20.90	11.50	0.00	"C"	3		"N"	"HT Correct"
9.00	76.00	"PIRE"	1.00	"TS"	5/18/1998 0:00:00	37.80	20.87	10.43				"C"	"0"	
9.00	76.00	"PIRE"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	40.50	18.80	10.10	0.00			"C"	"0"	
9.00	76.00	"PIRE"	3.00		8/1/2007 0:00:00	40.80	19.70	11.70	0.00	"B"	2		"N"	
9.00	76.00	"PIRE"	4.00	"DH; KS"	7/21/2011 0:00:00	41.80	21.00	11.20	0.00	"C"	3		"N"	
9.00	77.00	"PIST"	1.00	"TS"	5/18/1998 0:00:00	58.70	27.16	15.97				"D"	"0"	
9.00	77.00	"PIST"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	60.70	27.10	13.50	0.00			"D"	"0"	
9.00	77.00	"PIST"	3.00		8/1/2007 0:00:00	61.80	28.20	15.30	0.00	"B"	3		"N"	
9.00	77.00	"PIST"	4.00	"DH; KS"	7/21/2011 0:00:00	64.10	32.00	16.60	0.00	"B"	3		"N"	
9.00	78.00	"QURU"	1.00	"TS"	5/18/1998 0:00:00	39.60	24.39	12.58				"C"	"0"	
9.00	78.00	"QURU"	2.00	"MRS, BTP, SEG, MCP, DER"	6/12/2002 0:00:00	42.80	18.70	12.50	0.00			"C"	"0"	
9.00	78.00	"QURU"	3.00		8/1/2007 0:00:00	44.30	22.70	12.50	0.00	"B"	2		"N"	
