"RA"	"RT."	"TREE_CODE"	"INV"	"CREW"	"DATE"	"DBH"	"HT"	"LLC"	"COND"	"ST"	"LI"	"CC"	"CAV"	"NOTES"
1.00	1.00	"THOC"	1.00		5/21/1996 0:00:00	31.60	13.46	5.65				"C"	"0"	
1.00	1.00	"THOC"	2.00		7/12/2000 0:00:00	32.90	14.10	7.70	2.00			"C"	"1"	
1.00	1.00	"THOC"	3.00		11/3/2004 0:00:00	32.88	14.30	7.60	2.00	"C"	1	"I"	"1"	
1.00	1.00	"THOC"	4.00	"KB;HV"	7/1/2010 0:00:00	33.30	14.30	9.20	2.00	"C"	2		"Y"	
1.00	2.00	"ACRU"	1.00		5/21/1996 0:00:00	31.20	13.76	8.39				"C"	"0"	
1.00	2.00	"ACRU"	2.00		7/12/2000 0:00:00	32.40	15.70	7.60				"C"	"0"	
1.00	2.00	"ACRU"	3.00		11/3/2004 0:00:00	32.59	14.00	9.90	23.00	"B"	2	"C"	"1"	
1.00	2.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	33.10	16.80	9.50	23.00	"B"	3		"N"	
1.00	3.00	"TSCA"	1.00		5/21/1996 0:00:00	50.30	20.27	10.13	2.00			"D"	"1"	
1.00	3.00	"TSCA"	2.00		7/12/2000 0:00:00	48.00	20.00	11.20	2.00			"D"	"1"	
1.00	3.00	"TSCA"	3.00		11/3/2004 0:00:00	49.33	22.30	10.00	2.00	"B"	4	"C"	"1"	
1.00	3.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	51.70	20.10	11.00	2.00	"B"	4		"Y"	
1.00	4.00	"THOC"	2.00		7/13/2000 0:00:00	44.10	13.70	5.10				"I"	"0"	
1.00	4.00	"TSCA"	1.00		5/21/1996 0:00:00	40.80	17.30	5.88				"I"	"0"	
1.00	4.00	"TSCA"	3.00		11/3/2004 0:00:00	43.29	16.40	6.90	5.00			"I"	"0"	
1.00	4.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	43.40	11.60	4.50	5.00	"C"	0		"N"	"1.14m above DBH. DBH IN GROUND 6.93 FROM BASE TO CIENT"
1.00	5.00	"PIST"	1.00		5/21/1996 0:00:00	75.00	27.39	19.72	2.00			"D"	"1"	
1.00	5.00	"PIST"	2.00		7/12/2000 0:00:00	77.50	28.80	10.80	2.00			"D"	"1"	
1.00	5.00	"PIST"	3.00		11/3/2004 0:00:00	79.86	27.10	13.40	2.00	"A"	4	"D"	"0"	
1.00	5.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	82.00	26.20	14.50	23.00	"A"	5			
1.00	6.00	"THOC"	1.00		5/21/1996 0:00:00	21.60	12.25	4.53				"I"	"0"	
1.00	6.00	"THOC"	2.00		7/13/2000 0:00:00				9.00					
1.00	7.00	"ACRU"	1.00		5/21/1996 0:00:00	26.80	21.11	10.34				"C"	"0"	
1.00	7.00	"ACRU"	2.00		7/12/2000 0:00:00	30.40	20.50	8.30				"D"	"0"	
1.00	7.00	"ACRU"	3.00		11/3/2004 0:00:00	35.14	21.30	7.60	0.00	"B"	5	"D"	"0"	
1.00	8.00	"POGR"	1.00		5/21/1996 0:00:00	29.50	20.56	12.13				"C"	"0"	
1.00	8.00	"POGR"	2.00		7/12/2000 0:00:00	32.30	23.20	11.90				"D"	"0"	
1.00	8.00	"POGR"	3.00		11/3/2004 0:00:00	34.79	21.90	12.10	0.00	"B"	5	"D"	"0"	
1.00	8.00	"POGR"	4.00	"KB;HV"	7/1/2010 0:00:00	37.80	23.40	12.90	0.00	"B"	5		"N"	
1.00	9.00	"POGR"	1.00		5/21/1996 0:00:00	28.00	21.29	13.41				"C"	"0"	
1.00	9.00	"POGR"	2.00		7/12/2000 0:00:00	29.90	18.70	12.00				"D"	"0"	
1.00	9.00	"POGR"	3.00		11/3/2004 0:00:00	33.13	20.60	13.10	0.00	"B"	5	"D"	"0"	
1.00	10.00	"TSCA"	1.00		5/21/1996 0:00:00	57.90	24.56	11.78				"D"	"0"	
1.00	10.00	"TSCA"	2.00		7/12/2000 0:00:00	61.50	23.50	8.80				"D"	"0"	
1.00	10.00	"TSCA"	3.00		11/3/2004 0:00:00	63.02	25.40	7.60	0.00	"A"	4	"D"	"0"	
1.00	10.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	65.50	26.60	8.90	0.00	"B"	5		"N"	
1.00	11.00	"QURU"	1.00		5/21/1996 0:00:00	22.00	20.05	11.22				"C"	"0"	
1.00	11.00	"QURU"	2.00		7/12/2000 0:00:00	24.80	20.00	10.10				"C"	"0"	
1.00	11.00	"QURU"	3.00		11/3/2004 0:00:00	28.32	21.80	13.80	0.00	"B"	3	"C"	"0"	
1.00	11.00	"QURU"	4.00	"KB;HV"	7/1/2010 0:00:00	32.00	22.90	14.30	0.00	"B"	4		"N"	
1.00	12.00	"PIST"	1.00		5/21/1996 0:00:00	27.80	19.45	14.39				"C"	"0"	
1.00	12.00	"PIST"	2.00		7/12/2000 0:00:00	30.40	21.30	13.40				"C"	"0"	
1.00	12.00	"PIST"	3.00		11/3/2004 0:00:00	33.32	20.50	12.80	0.00	"B"	4	"C"	"0"	
1.00	12.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	38.60	24.30	15.00	0.00	"B"	5		"N"	
1.00	13.00	"TSCA"	1.00		5/21/1996 0:00:00	55.90	22.00	9.46	2.00			"D"	"1"	
1.00	13.00	"TSCA"	2.00		7/12/2000 0:00:00	15.70	22.70	5.10				"C"	"0"	
1.00	13.00	"TSCA"	3.00		11/3/2004 0:00:00	58.05	22.00	7.90	2.00	"B"	3	"C"	"1"	
1.00	13.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	60.30	24.10	5.20	2.00	"B"	4		"Y"	
1.00	14.00	"TSCA"	1.00		5/21/1996 0:00:00	47.10	22.27	8.90				"D"	"0"	
1.00	14.00	"TSCA"	2.00		7/12/2000 0:00:00	48.20	23.70	9.80				"D"	"0"	
1.00	14.00	"TSCA"	3.00		11/3/2004 0:00:00	49.14	22.70	10.90	0.00	"B"	3	"D"	"0"	
1.00	14.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	51.30	24.70	12.40	0.00	"B"	4		"N"	
1.00	15.00	"TSCA"	1.00		5/21/1996 0:00:00	44.70	21.17	11.85				"C"	"0"	
1.00	15.00	"TSCA"	2.00		7/12/2000 0:00:00	46.20	22.40	9.80				"C"	"0"	
1.00	15.00	"TSCA"	3.00		11/3/2004 0:00:00	46.72	22.50	10.80	0.00	"B"	2	"C"	"0"	
1.00	15.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	48.30	24.20	10.80	0.00	"B"	4		"N"	
1.00	16.00	"BEPA"	1.00		5/21/1996 0:00:00	34.20	21.24	12.10				"C"	"0"	
1.00	16.00	"BEPA"	2.00		7/12/2000 0:00:00	35.80	13.80	12.50				"C"	"0"	
1.00	16.00	"BEPA"	3.00		11/3/2004 0:00:00	35.65	21.40	13.50	2.00	"B"	2	"C"	"1"	
1.00	16.00	"BEPA"	4.00	"KB;HV"	7/1/2010 0:00:00	35.70	21.20	13.60	3.00	"B"	5		"N"	"MEASUREMENT 25 CM BELOW DBH"
1.00	17.00	"PIST"	1.00		5/21/1996 0:00:00	24.80	17.86	14.46				"C"	"0"	
1.00	17.00	"PIST"	2.00		7/12/2000 0:00:00	25.80	19.20	13.50				"C"	"0"	
1.00	17.00	"PIST"	3.00		11/3/2004 0:00:00	30.55	20.30	13.20	0.00	"B"	3	"C"	"0"	
1.00	17.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	34.80	22.30	14.70	0.00	"B"	5		"N"	
1.00	18.00	"FAGR"	1.00		5/21/1996 0:00:00	48.51	17.00	6.12				"I"	"0"	
1.00	18.00	"FAGR"	2.00		7/12/2000 0:00:00	38.10	15.10	5.90				"I"	"0"	
1.00	18.00	"FAGR"	3.00		11/3/2004 0:00:00	39.24	15.80	5.00	23.00	"B"	3	"I"	"1"	
1.00	18.00	"FAGR"	4.00	"KB;HV"	7/1/2010 0:00:00	40.50	17.80	7.00	23.00	"B"	3		"N"	
1.00	19.00	"TSCA"	1.00		5/21/1996 0:00:00	49.78	19.83	11.50				"C"	"0"	
1.00	19.00	"TSCA"	2.00		7/12/2000 0:00:00	41.50	19.10	7.40				"C"	"0"	
1.00	19.00	"TSCA"	3.00		11/3/2004 0:00:00	42.84	20.50	8.30	2.00	"B"	1	"C"	"1"	
1.00	19.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	46.40	19.60	8.70	0.00	"B"	4		"N"	
1.00	20.00	"TSCA"	1.00		5/21/1996 0:00:00	54.10	20.65	8.67				"C"	"0"	
1.00	20.00	"TSCA"	2.00		7/12/2000 0:00:00	44.60	21.70	9.00				"C"	"0"	
1.00	20.00	"TSCA"	3.00		11/3/2004 0:00:00	45.23	21.50	10.50	0.00	"B"	2	"C"	"0"	
1.00	20.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	47.50	22.30	10.10	0.00	"B"	4		"N"	
1.00	21.00	"POGR"	1.00		5/21/1996 0:00:00	56.89						"D"	"0"	
1.00	21.00	"POTR"	2.00		7/12/2000 0:00:00	25.50	21.80	12.80				"C"	"0"	
1.00	21.00	"POTR"	3.00		11/3/2004 0:00:00	28.99	20.80	12.70	0.00	"B"	5	"D"	"0"	
1.00	21.00	"POTR"	4.00	"KB;HV"	7/1/2010 0:00:00	32.60	21.60	13.30	0.00	"B"	5		"N"	
1.00	22.00	"POGR"	1.00		5/21/1996 0:00:00	53.08	24.39	15.36				"D"	"0"	
1.00	22.00	"POGR"	2.00		7/12/2000 0:00:00	44.10	26.50	14.50				"C"	"0"	
1.00	22.00	"POGR"	3.00		11/3/2004 0:00:00	46.40	25.60	12.90	0.00	"B"	3	"D"	"0"	
1.00	22.00	"POGR"	4.00	"KB;HV"	7/1/2010 0:00:00	50.40	28.50	10.80	0.00	"A"	4		"N"	
1.00	23.00	"PIST"	1.00		5/21/1996 0:00:00	115.57						"D"	"0"	
1.00	23.00	"PIST"	2.00		7/12/2000 0:00:00	46.80	23.20	16.00				"C"	"0"	
1.00	23.00	"PIST"	3.00		11/3/2004 0:00:00	48.41	24.50	14.50	0.00	"A"	4	"D"	"0"	
1.00	23.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	51.80	26.70	14.50	0.00	"A"	5		"N"	
1.00	24.00	"ACRU"	1.00		5/21/1996 0:00:00	58.16	26.51	12.19				"C"	"0"	
1.00	24.00	"ACRU"	2.00		7/12/2000 0:00:00	47.00	24.60	8.40				"D"	"0"	
1.00	24.00	"ACRU"	3.00		11/3/2004 0:00:00	48.60	25.60	14.80	0.00	"B"	2	"C"	"0"	
1.00	24.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	51.20	31.00	14.20	0.00	"B"	4		"N"	
1.00	25.00	"FAGR"	1.00		5/21/1996 0:00:00	37.08	18.02	10.09	2.00			"C"	"1"	
1.00	25.00	"FAGR"	2.00		7/12/2000 0:00:00	28.70	12.90	9.60	2.00			"I"	"1"	
1.00	25.00	"FAGR"	3.00		11/3/2004 0:00:00				9.00					
1.00	25.00	"FAGR"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	26.00	"PIST"	1.00		5/21/1996 0:00:00	59.69	18.82	8.84				"C"	"0"	
1.00	26.00	"PIST"	2.00		7/12/2000 0:00:00				8.00					
1.00	26.00	"PIST"	3.00		11/3/2004 0:00:00				8.00					
1.00	27.00	"PIST"	1.00		5/21/1996 0:00:00	54.61	26.82	17.96				"C"	"0"	
1.00	27.00	"PIST"	2.00		7/12/2000 0:00:00	44.70	25.80	13.40				"D"	"0"	
1.00	27.00	"PIST"	3.00		11/3/2004 0:00:00	49.52	26.50	15.20	0.00	"B"	4	"D"	"0"	
1.00	27.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	54.70	30.60	18.90	0.00	"B"	5		"N"	
1.00	28.00	"BEAL"	1.00		5/21/1996 0:00:00	43.43	23.74	8.78				"C"	"0"	
1.00	28.00	"BEAL"	2.00		7/12/2000 0:00:00	35.80	27.00	4.80				"C"	"0"	
1.00	28.00	"BEAL"	3.00		11/3/2004 0:00:00	36.90	24.20	14.60	0.00	"B"	1	"C"	"0"	
1.00	28.00	"BEAL"	4.00	"KB;HV"	7/1/2010 0:00:00	39.50	24.90	9.20	0.00	"B"	3		"N"	
1.00	29.00	"TSCA"	1.00		5/21/1996 0:00:00	66.80	21.24	9.13	2.00			"C"	"1"	
1.00	29.00	"TSCA"	2.00		7/12/2000 0:00:00	54.60	20.00	7.80	2.00			"C"	"1"	
1.00	29.00	"TSCA"	3.00		11/3/2004 0:00:00	54.84	22.70	7.70	2.00	"B"	1	"C"	"1"	
1.00	29.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	57.70	21.30	7.30	0.00	"B"	5		"Y"	
1.00	30.00	"ACRU"	1.00		5/21/1996 0:00:00	44.19	22.08	11.92				"C"	"0"	
1.00	30.00	"QURU"	2.00		7/12/2000 0:00:00	38.70	21.90	10.90				"C"	"0"	
1.00	30.00	"QURU"	3.00		11/3/2004 0:00:00	42.11	20.20	11.30	0.00	"B"	3	"C"	"0"	
1.00	30.00	"QURU"	4.00	"KB;HV"	7/1/2010 0:00:00	47.40	24.60	10.80	0.00	"B"	4		"N"	
1.00	31.00	"PIST"	1.00		5/21/1996 0:00:00	32.00	19.09	12.98				"C"	"0"	
1.00	31.00	"PIST"	2.00		7/12/2000 0:00:00	29.70	20.50	6.50				"C"	"0"	
1.00	31.00	"PIST"	3.00		11/3/2004 0:00:00	33.04	21.70	11.50	0.00	"B"	4	"C"	"0"	
1.00	31.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	37.70	23.30	11.70	0.00	"B"	3		"N"	
1.00	32.00	"PIST"	1.00		5/21/1996 0:00:00	30.98	20.02	14.81				"C"	"0"	
1.00	32.00	"PIST"	2.00		7/12/2000 0:00:00	28.60	20.50	12.40				"C"	"0"	
1.00	32.00	"PIST"	3.00		11/3/2004 0:00:00	32.27	22.10	8.40	0.00	"B"	4	"C"	"0"	
1.00	32.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	37.30	23.20	8.20	0.00	"B"	4		"N"	
1.00	33.00	"PIRU"	1.00		5/21/1996 0:00:00	9.14	23.15	11.11				"D"	"0"	
1.00	33.00	"PIRU"	2.00		7/12/2000 0:00:00	39.90	23.20	11.30				"C"	"0"	
1.00	33.00	"PIRU"	3.00		11/3/2004 0:00:00	40.36	23.30	12.70	0.00	"A"	4	"C"	"0"	
1.00	33.00	"PIRU"	4.00	"KB;HV"	7/1/2010 0:00:00	41.50	24.60	12.20	0.00	"B"	3		"N"	
1.00	34.00	"PIRU"	1.00		5/21/1996 0:00:00	48.26	23.81	13.33				"D"	"0"	
1.00	34.00	"PIRU"	2.00		7/13/2000 0:00:00	39.60	23.90	12.80				"D"	"0"	
1.00	34.00	"PIRU"	3.00		11/3/2004 0:00:00	41.63	25.30	12.90	0.00	"A"	5	"D"	"0"	
1.00	34.00	"PIRU"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	35.00	"PIST"	1.00		5/21/1996 0:00:00	22.09	18.43	15.66				"I"	"0"	
1.00	35.00	"PIST"	2.00		7/12/2000 0:00:00	20.00	18.60	13.00				"C"	"0"	
1.00	35.00	"PIST"	3.00		11/3/2004 0:00:00	23.17	19.90	13.50	0.00	"B"	4	"C"	"0"	
1.00	35.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	28.10	20.80	13.30	0.00	"B"	4		"N"	
1.00	36.00	"PIST"	1.00		5/21/1996 0:00:00	24.89						"C"	"0"	
1.00	36.00	"PIST"	2.00		7/13/2000 0:00:00	27.00	21.60	8.20				"C"	"0"	
1.00	36.00	"PIST"	3.00		11/3/2004 0:00:00	30.74	21.20	8.10	0.00	"B"	5	"C"	"0"	
1.00	36.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	36.90	24.10	8.90	0.00	"B"	5		"N"	
1.00	37.00	"TSCA"	1.00		5/21/1996 0:00:00	60.96			2.00			"D"	"1"	
1.00	37.00	"TSCA"	2.00		7/12/2000 0:00:00	61.70	22.60	6.90				"D"	"0"	
1.00	37.00	"TSCA"	3.00		11/3/2004 0:00:00	62.13	23.30	6.80	0.00	"A"	5	"D"	"0"	
1.00	37.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	65.30	22.80	7.70	0.00	"B"	5		"N"	
1.00	38.00	"FAGR"	1.00		5/21/1996 0:00:00	52.83	18.49	11.64				"C"	"0"	
1.00	38.00	"FAGR"	2.00		7/12/2000 0:00:00	42.90	20.10	9.60				"C"	"0"	
1.00	38.00	"FAGR"	3.00		11/3/2004 0:00:00	43.44	15.00	6.80	23.00	"B"	3	"C"	"0"	
1.00	38.00	"FAGR"	4.00	"KB;HV"	7/1/2010 0:00:00	42.30	21.90	8.40	3.00	"B"	3		"N"	"24cm below dbh defect."
1.00	39.00	"PIST"	1.00		5/21/1996 0:00:00	112.52	30.50	16.47				"D"	"0"	
1.00	39.00	"PIST"	2.00		7/13/2000 0:00:00	91.50	31.40	16.90				"D"	"0"	
1.00	39.00	"PIST"	3.00		11/3/2004 0:00:00	93.10	31.50	16.40	0.00	"A"	5	"D"	"0"	
1.00	39.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	93.70	32.50	17.30	0.00	"B"	5		"N"	
1.00	40.00	"ACRU"	1.00		5/21/1996 0:00:00	42.16	17.90	11.99				"C"	"0"	
1.00	40.00	"OSVI"	2.00		7/12/2000 0:00:00	32.80	16.90	8.50				"C"	"0"	
1.00	40.00	"TIAM"	3.00		11/3/2004 0:00:00	33.70	19.10	12.30	0.00	"B"	2	"C"	"0"	
1.00	40.00	"TIAM"	4.00	"KB;HV"	7/1/2010 0:00:00	33.80	19.30	6.70	0.00	"B"	3		"N"	
1.00	41.00	"BEAL"	1.00		5/21/1996 0:00:00	41.91	18.90	11.71				"C"	"0"	
1.00	41.00	"BEAL"	2.00		7/12/2000 0:00:00				9.00					
1.00	41.00	"BEAL"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	42.00	"PIST"	1.00		5/21/1996 0:00:00	70.10	23.32	13.99	2.00			"D"	"1"	
1.00	42.00	"PIST"	2.00		7/12/2000 0:00:00	55.50	14.30	12.10	23.00			"C"	"1"	
1.00	42.00	"PIST"	3.00		11/3/2004 0:00:00				9.00					
1.00	42.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	43.00	"TSCA"	1.00		5/21/1996 0:00:00	44.45	16.42	11.00				"C"	"0"	
1.00	43.00	"TSCA"	2.00		7/12/2000 0:00:00	36.50	17.20	4.80				"C"	"0"	
1.00	43.00	"TSCA"	3.00		11/3/2004 0:00:00	37.50	18.10	6.10	2.00	"B"	4	"C"	"0"	
1.00	43.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	42.30	17.70	5.30	2.00	"B"	5		"N"	
1.00	44.00	"TSCA"	1.00		5/21/1996 0:00:00	96.01	17.38	7.29	2.00			"C"	"1"	
1.00	44.00	"TSCA"	2.00		7/12/2000 0:00:00	36.50	16.30	6.20				"C"	"0"	
1.00	44.00	"TSCA"	3.00		11/3/2004 0:00:00	38.10	16.00	8.10	0.00			"C"	"0"	
1.00	44.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	39.40	17.20	6.80	0.00	"B"	5		"N"	
1.00	45.00	"ACRU"	1.00		5/21/1996 0:00:00	52.57	23.50	13.63				"C"	"0"	
1.00	45.00	"ACRU"	2.00		7/12/2000 0:00:00				7.00					
1.00	45.00	"ACRU"	3.00		11/3/2004 0:00:00				8.00					
1.00	46.00	"ABBA"	1.00		5/21/1996 0:00:00	46.48	17.06					"O"	"0"	
1.00	46.00	"ABBA"	2.00		7/13/2000 0:00:00				9.00					
1.00	46.00	"ABBA"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	47.00	"BEAL"	1.00		5/21/1996 0:00:00	36.06	18.87	10.00				"C"	"0"	
1.00	47.00	"BEAL"	2.00		7/13/2000 0:00:00	30.70	19.20	7.10				"C"	"0"	
1.00	47.00	"BEAL"	3.00		11/3/2004 0:00:00	31.10	19.20	10.90	0.00	"B"	3	"C"	"0"	
1.00	47.00	"BEAL"	4.00	"KB;HV"	7/1/2010 0:00:00	33.20	22.60	12.40	0.00	"B"	3		"N"	
1.00	48.00	"ACRU"	1.00		5/21/1996 0:00:00	52.57	23.50	13.63				"C"	"0"	
1.00	48.00	"ACRU"	2.00		7/13/2000 0:00:00	43.10	22.30	10.00				"C"	"0"	
1.00	48.00	"ACRU"	3.00		11/3/2004 0:00:00	45.70	24.80	12.30	0.00	"A"	5	"D"	"0"	
1.00	48.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	51.30	28.20	10.80	0.00	"B"	4		"N"	
1.00	49.00	"TSCA"	1.00		5/21/1996 0:00:00	55.11	17.25	7.81	2.00			"I"	"1"	
1.00	49.00	"TSCA"	2.00		7/13/2000 0:00:00	57.20	17.30	7.70				"C"	"0"	
1.00	49.00	"TSCA"	3.00		11/3/2004 0:00:00	57.26	17.90	7.70	0.00	"B"	3	"C"	"0"	
1.00	49.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	59.10	19.90	10.30	0.00	"B"	4		"N"	
1.00	50.00	"PIST"	1.00		5/21/1996 0:00:00	53.08	22.63	14.93				"C"	"0"	
1.00	50.00	"PIST"	2.00		7/13/2000 0:00:00	47.50	22.20	11.20				"C"	"0"	
1.00	50.00	"PIST"	3.00		11/3/2004 0:00:00	51.69	22.90	12.20	0.00	"A"	5	"D"	"0"	
1.00	50.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	58.60	27.20	13.50	0.00	"B"	4		"N"	
1.00	51.00	"TSCA"	1.00		5/21/1996 0:00:00	69.85	21.05	10.10				"C"	"0"	
1.00	51.00	"TSCA"	2.00		7/13/2000 0:00:00	57.10	24.00	10.40				"C"	"0"	
1.00	51.00	"TSCA"	3.00		11/3/2004 0:00:00				9.00					
1.00	51.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	52.00	"PIST"	1.00		5/21/1996 0:00:00	56.89	19.84	11.90				"C"	"0"	
1.00	52.00	"PIST"	2.00		7/13/2000 0:00:00	27.70	21.40	8.90				"C"	"0"	
1.00	52.00	"PIST"	3.00		11/3/2004 0:00:00	33.19	21.20	7.50	0.00	"B"	5	"C"	"0"	
1.00	52.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	41.90	22.10	7.60	0.00	"B"	5		"N"	
1.00	53.00	"ABBA"	1.00		5/21/1996 0:00:00	39.37	23.27	13.49				"D"	"0"	
1.00	53.00	"ABBA"	2.00		7/13/2000 0:00:00	41.10	21.70	11.20				"D"	"0"	
1.00	53.00	"ABBA"	3.00		11/3/2004 0:00:00	42.30	23.80	10.50	0.00	"B"	5	"D"	"0"	
1.00	53.00	"ABBA"	4.00	"KB;HV"	7/1/2010 0:00:00				9.00					
1.00	54.00	"FAGR"	1.00		5/21/1996 0:00:00	41.91	14.36	5.31	2.00			"C"	"1"	
1.00	54.00	"FAGR"	2.00		7/13/2000 0:00:00	33.10	11.40	4.50	23.00			"I"	"1"	
1.00	54.00	"FAGR"	3.00		11/3/2004 0:00:00	33.54	12.80	3.90	23.00	"C"	1	"D"	"1"	
1.00	55.00	"PIST"	1.00		5/21/1996 0:00:00	93.72	28.95	13.60				"D"	"0"	
1.00	55.00	"PIST"	2.00		7/13/2000 0:00:00	75.30	28.60	14.70				"D"	"0"	
1.00	55.00	"PIST"	3.00		11/3/2004 0:00:00	76.23	29.10	13.30	0.00	"A"	5	"D"	"1"	
1.00	55.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	77.50	29.30	12.80	0.00	"A"	5		"N"	
1.00	56.00	"TSCA"	1.00		5/21/1996 0:00:00	74.93	23.33	10.49				"C"	"0"	
1.00	56.00	"TSCA"	2.00		7/12/2000 0:00:00	60.30	23.50	6.90				"D"	"0"	
1.00	56.00	"TSCA"	3.00		11/3/2004 0:00:00	61.10	24.20	9.80	0.00	"A"	5	"D"	"0"	
1.00	56.00	"TSCA"	4.00	"KB;HV"	7/1/2010 0:00:00	63.20	24.80	5.70	0.00	"B"	4		"N"	
1.00	57.00	"PIRU"	1.00		5/21/1996 0:00:00	77.41	19.04	9.44				"C"	"0"	
1.00	57.00	"PIRU"	2.00		7/12/2000 0:00:00	31.50	14.15	5.90	5.00			"C"	"0"	
1.00	57.00	"PIRU"	3.00		11/3/2004 0:00:00				9.00					
1.00	58.00	"ACRU"	1.00		5/21/1996 0:00:00	44.95	20.56	11.71				"C"	"0"	
1.00	58.00	"ACRU"	2.00		7/12/2000 0:00:00	38.10	25.00	10.80				"D"	"0"	
1.00	58.00	"ACRU"	3.00		11/3/2004 0:00:00	40.30	23.40	12.80	0.00	"B"	3	"C"	"0"	
1.00	58.00	"ACRU"	4.00	"KB;HV"	7/1/2010 0:00:00	45.00	23.40	9.10	0.00	"B"	5		"N"	
1.00	59.00	"PIST"	1.00		5/21/1996 0:00:00	45.46	22.68	12.70				"C"	"0"	
1.00	59.00	"PIST"	2.00		7/12/2000 0:00:00	38.00	21.50	12.70				"D"	"0"	
1.00	59.00	"PIST"	3.00		11/3/2004 0:00:00	41.10	23.40	12.80	0.00	"A"	4	"C"	"0"	
1.00	59.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	45.60	26.90	12.90	0.00	"B"	5		"N"	
1.00	60.00	"PIST"	1.00		5/21/1996 0:00:00	59.69	20.80	13.10	2.00			"D"	"1"	
1.00	60.00	"PIST"	2.00		7/12/2000 0:00:00	48.30	18.50	7.30				"D"	"0"	
1.00	60.00	"PIST"	3.00		11/3/2004 0:00:00	48.70	21.80	12.40	2.00	"A"	5	"D"	"1"	
1.00	60.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	50.90	24.10	12.00	0.00	"B"	3		"N"	
1.00	61.00	"PIST"	1.00		5/21/1996 0:00:00	55.37	19.80	11.68				"D"	"0"	
1.00	61.00	"PIST"	2.00		7/12/2000 0:00:00				8.00					
1.00	61.00	"PIST"	3.00		11/3/2004 0:00:00									
1.00	62.00	"PIST"	1.00		5/21/1996 0:00:00	74.16	18.62	8.56	2.00			"C"	"1"	
1.00	62.00	"PIST"	2.00		7/12/2000 0:00:00	58.30	20.00	11.20	2.00			"C"	"1"	
1.00	62.00	"PIST"	3.00		11/3/2004 0:00:00	59.80	20.50	11.20	23.00	"B"	3	"C"	"1"	
1.00	62.00	"PIST"	4.00	"KB;HV"	7/1/2010 0:00:00	60.80	26.30	10.30	23.00	"B"	4		"Y"	
1.00	63.00	"POGR"	1.00		5/21/1996 0:00:00	62.73	23.31	14.45				"C"	"0"	
1.00	63.00	"POGR"	2.00		7/12/2000 0:00:00	51.20	20.80	13.10				"C"	"0"	
1.00	63.00	"POGR"	3.00		11/3/2004 0:00:00	52.80	21.30	12.00	0.00	"A"	5	"C"	"0"	
1.00	63.00	"POGR"	4.00	"KB;HV"	7/1/2010 0:00:00	55.60	22.30	11.60	0.00	"B"	4		"N"	
1.00	64.00	"TSCA"	1.00		5/21/1996 0:00:00	71.37	21.81	12.21				"C"	"0"	
1.00	64.00	"TSCA"	2.00		7/12/2000 0:00:00	57.80	23.80	9.30				"D"	"0"	
1.00	64.00	"TSCA"	3.00		11/3/2004 0:00:00	58.40	22.50	10.50	0.00	"A"	4	"D"	"0"	
